mmdb|mmdb.0.3.0|conf-libmaxminddb|no|Binding to the MaxMind DB library for GeoIP lookups
molenc|molenc.17.0.1|conf-graphviz,conf-python-3,conf-rdkit|no|Molecular encoder/featurizer using rdkit and OCaml
morbig|morbig.0.11.0|conf-jq|no|A trustworthy parser for POSIX shell
mosquitto|mosquitto.0.2.1-0|conf-libmosquitto|no|mosquitto
mperf|mperf.0.5.0|conf-linux-libc-dev|no|Bindings to Linux perf's metrics
mpg123|mpg123.0.3|conf-libmpg123,conf-pkg-config|no|MP3 decoding library
mpi|mpi.1.06|conf-mpi|no|OCaml binding to the Message Passing Interface (MPI)
multicore-magic|multicore-magic.2.3.1|conf-npm|no|Low-level multicore utilities for OCaml
mutaml|mutaml.0.3|conf-diffutils,conf-timeout,conf-which|no|A mutation tester for OCaml
mysql|mysql.1.2.4|conf-mariadb,conf-mysql|no|synopsis:
mysql8|mysql8.1.0|conf-mysql|no|OCaml interface for mysql-connector-c
naboris|naboris.0.1.3|conf-libev|no|Simple http server
nanoid|nanoid.1.0.0|conf-npm|no|Nano ID implementation for OCaml
netlink|netlink.0.3.4|conf-libnl3|no|Bindings to the Netlink Protocol Library Suite (libnl)
netsnmp|netsnmp.v0.17.0|conf-netsnmp|yes|An interface to the Net-SNMP client library
nlopt-ocaml|nlopt-ocaml.0.5.1|conf-nlopt|no|OCaml bindings to the NLOpt optimization library
nlopt|nlopt.0.7.0|conf-nlopt|no|OCaml bindings to the NLOpt optimization library
not-ocamlfind|not-ocamlfind.0.14|conf-m4,conf-which|yes|A small frontend for ocamlfind that adds a few useful commands
numalib|numalib.0.1.0|conf-numa|no|Interface to Linux NUMA API
obuilder|obuilder.0.6.0|conf-bash,conf-which|no|Run build scripts for CI
ocaml-canvas|ocaml-canvas.1.0.0|conf-freetype,conf-libfontconfig,conf-libwayland,conf-libxcb,conf-libxcb-image,conf-libxcb-keysyms,conf-libxcb-shm,conf-libxcb-xkb,conf-wayland-protocols,conf-xkbcommon|no|The OCaml-Canvas library
ocaml-env-mingw32|ocaml-env-mingw32.1|conf-mingw-w64-gcc-i686|no|GCC mingw-w64 OCaml Runtime Dependency (32-bit)
ocaml-env-mingw64|ocaml-env-mingw64.1|conf-mingw-w64-gcc-x86_64|no|GCC mingw-w64 OCaml Runtime Dependency (64-bit)
ocaml-env-msvc32|ocaml-env-msvc32.1|conf-msvc32|no|Microsoft C Compiler OCaml Runtime Dependency (32-bit)
ocaml-env-msvc64|ocaml-env-msvc64.1|conf-msvc64|no|Microsoft C Compiler OCaml Runtime Dependency (64-bit)
