conf-libev|conf-libev.4-12|no|yes|High-performance event loop/event model with lots of features
conf-libevent|conf-libevent.1|yes|yes|Virtual package relying on libevent
conf-libffi|conf-libffi.2.0.0|yes|yes|Virtual package relying on libffi system installation
conf-libflac|conf-libflac.1|yes|yes|Virtual package relying on libFLAC
conf-libfontconfig|conf-libfontconfig.1|yes|yes|Virtual package relying on fontconfig
conf-libfuse|conf-libfuse.1|yes|yes|Virtual package relying on FUSE
conf-libgccjit|conf-libgccjit.1|no|yes|Virtual package relying on a libgccjit system installation
conf-libgif|conf-libgif.1|no|yes|Virtual package relying on a libgif system installation
conf-libgl|conf-libgl.1|yes|yes|Virtual package relying on a OpenGL system installation
conf-libglu|conf-libglu.1|yes|yes|Virtual package relying on a libGLU system installation
conf-libgsasl|conf-libgsasl.1|yes|yes|Virtual package relying on a GSASL lib system installation
conf-libjpeg|conf-libjpeg.1|yes|yes|Virtual package relying on a libjpeg system installation
conf-liblinear-tools|conf-liblinear-tools.1.0.0|no|yes|Virtual package relying on liblinear-{train|predict} installation
conf-liblo|conf-liblo.1|no|yes|Virtual package relying on liblo
conf-liblz4|conf-liblz4.1|yes|yes|Virtual package relying on liblz4 system installation
conf-liblzma|conf-liblzma.1|yes|yes|Virtual package relying on liblzma
conf-libmagic|conf-libmagic.1|no|yes|Virtual package relying on a libmagic system installation
conf-libmaxminddb|conf-libmaxminddb.1|yes|yes|Virtual package relying on a libmaxminddb system installation
conf-libmd|conf-libmd.1.0.0|yes|yes|Virtual package relying on libmd
conf-libmosquitto|conf-libmosquitto.1|yes|yes|Virtual package relying on a libmosquitto system installation
conf-libmpg123|conf-libmpg123.1|yes|yes|Virtual package relying on libmpg123
conf-libnl3|conf-libnl3.1|yes|yes|Virtual package relying on a libnl system installation
conf-libobjc2|conf-libobjc2.1|no|yes|Virtual package relying on libobjc2 lib system installation
conf-libogg|conf-libogg.1|yes|yes|Virtual package relying on libogg
conf-libopus|conf-libopus.1|yes|yes|Virtual package relying on libopus
conf-libpcre|conf-libpcre.2|yes|yes|Virtual package relying on a libpcre system installation
conf-libpcre2-8|conf-libpcre2-8.2|yes|yes|Virtual package relying on a libpcre2 system installation
