conf-libfuse|conf-libfuse.1|pkgcfg=yes|deb=libfuse-dev|brew=macfuse|Virtual package relying on FUSE
conf-libgccjit|conf-libgccjit.1|pkgcfg=no|deb=|brew=|Virtual package relying on a libgccjit system installation
conf-libgif|conf-libgif.1|pkgcfg=no|deb=libgif-dev|brew=giflib|Virtual package relying on a libgif system installation
conf-libgl|conf-libgl.1|pkgcfg=yes|deb=mesa-common-dev|brew=|Virtual package relying on a OpenGL system installation
conf-libglu|conf-libglu.1|pkgcfg=yes|deb=libglu1-mesa-dev|brew=|Virtual package relying on a libGLU system installation
conf-libgsasl|conf-libgsasl.1|pkgcfg=yes|deb=libgsasl7-dev|brew=gsasl|Virtual package relying on a GSASL lib system installation
conf-libjpeg|conf-libjpeg.1|pkgcfg=yes|deb=libjpeg-dev|brew=jpeg-turbo|Virtual package relying on a libjpeg system installation
conf-liblo|conf-liblo.1|pkgcfg=no|deb=liblo-dev|brew=liblo|Virtual package relying on liblo
conf-liblz4|conf-liblz4.1|pkgcfg=yes|deb=liblz4-dev|brew=lz4|Virtual package relying on liblz4 system installation
conf-liblzma|conf-liblzma.1|pkgcfg=yes|deb=liblzma-dev|brew=xz|Virtual package relying on liblzma
conf-libmagic|conf-libmagic.1|pkgcfg=no|deb=libmagic-dev|brew=libmagic|Virtual package relying on a libmagic system installation
conf-libmaxminddb|conf-libmaxminddb.1|pkgcfg=yes|deb=libmaxminddb-dev|brew=libmaxminddb|Virtual package relying on a libmaxminddb system installation
conf-libmd|conf-libmd.1.0.0|pkgcfg=yes|deb=libmd-dev|brew=libmd|Virtual package relying on libmd
conf-libmosquitto|conf-libmosquitto.1|pkgcfg=yes|deb=libmosquitto-dev|brew=mosquitto|Virtual package relying on a libmosquitto system installation
conf-libmpg123|conf-libmpg123.1|pkgcfg=yes|deb=libmpg123-dev|brew=mpg123|Virtual package relying on libmpg123
conf-libnl3|conf-libnl3.1|pkgcfg=yes|deb=libnl-3-dev|brew=|Virtual package relying on a libnl system installation
conf-libobjc2|conf-libobjc2.1|pkgcfg=no|deb=|brew=|Virtual package relying on libobjc2 lib system installation
conf-libogg|conf-libogg.1|pkgcfg=yes|deb=libogg-dev|brew=libogg|Virtual package relying on libogg
conf-libopus|conf-libopus.1|pkgcfg=yes|deb=libopus-dev|brew=libopusenc|Virtual package relying on libopus
conf-libpcre|conf-libpcre.2|pkgcfg=yes|deb=libpcre3-dev|brew=pcre|Virtual package relying on a libpcre system installation
conf-libpcre2-8|conf-libpcre2-8.2|pkgcfg=yes|deb=libpcre2-dev|brew=pcre2|Virtual package relying on a libpcre2 system installation
conf-libpng|conf-libpng.1|pkgcfg=yes|deb=libpng-dev|brew=libpng|Virtual package relying on a libpng system installation
